date;close;open;high;low
27/7/2004;1094.8;1084.1;1096.7;1084.1
26/7/2004;1084.1;1086.2;1089.8;1078.8
23/7/2004;1086.2;1096.8;1096.8;1083.5
22/7/2004;1096.8;1093.9;1099.7;1084.2
21/7/2004;1093.9;1108.7;1116.3;1093.9
20/7/2004;1108.7;1100.9;1108.9;1099.1
19/7/2004;1100.9;1101.4;1105.5;1096.5
16/7/2004;1101.4;1106.7;1112.2;1101.1
15/7/2004;1106.7;1111.5;1114.7;1106.6
14/7/2004;1111.5;1115.1;1119.6;1107.8
13/7/2004;1115.1;1114.3;1116.3;1113
12/7/2004;1114.3;1112.8;1116.1;1106.7
9/7/2004;1112.8;1109.1;1115.6;1109.1
8/7/2004;1109.1;1118.3;1119.1;1108.7
7/7/2004;1118.3;1116.2;1122.4;1114.9
6/7/2004;1116.2;1125.4;1125.4;1113.2
2/7/2004;1125.4;1128.9;1129.2;1123.3
1/7/2004;1128.9;1140.8;1140.8;1123.1
30/6/2004;1140.8;1136.2;1144.2;1133.6
29/6/2004;1136.2;1133.3;1138.3;1131.8
28/6/2004;1133.3;1134.4;1142.6;1131.6
25/6/2004;1134.4;1140.7;1146;1134.2
24/6/2004;1140.7;1144.1;1146.3;1139.9
23/6/2004;1144.1;1134.4;1145.2;1131.7
22/6/2004;1134.4;1130.3;1135;1124.4
21/6/2004;1130.3;1135;1138;1129.6
18/6/2004;1135;1132;1139.1;1129.8
17/6/2004;1132;1133.6;1133.6;1126.9
16/6/2004;1133.6;1132;1135.3;1130.5
15/6/2004;1132;1125.3;1137.4;1125.3
14/6/2004;1125.3;1136.5;1136.5;1122.2
10/6/2004;1136.5;1131.3;1136.5;1131.3
9/6/2004;1131.3;1142.2;1142.2;1131.2
8/6/2004;1142.2;1140.4;1142.2;1135.5
7/6/2004;1140.4;1122.5;1140.5;1122.5
4/6/2004;1122.5;1116.6;1129.2;1116.6
3/6/2004;1116.6;1125;1125.3;1116.6
2/6/2004;1125;1121.2;1128.1;1118.6
1/6/2004;1121.2;1120.7;1122.7;1113.3
28/5/2004;1120.7;1121.3;1122.7;1118.1
27/5/2004;1121.3;1114.9;1124;1114.9
26/5/2004;1114.9;1113;1116.7;1109.9
25/5/2004;1113;1095.4;1113.8;1090.7
24/5/2004;1095.4;1093.6;1101.7;1091.8
21/5/2004;1093.6;1089.2;1099.7;1089.2
20/5/2004;1089.2;1088.7;1092.6;1085.4
19/5/2004;1088.7;1091.5;1105.9;1088.5
18/5/2004;1091.5;1084.1;1094.1;1084.1
17/5/2004;1084.1;1095.7;1095.7;1079.4
14/5/2004;1095.7;1096.4;1102.4;1088.2
13/5/2004;1096.4;1097.3;1102.8;1091.8
12/5/2004;1097.3;1095.5;1097.5;1076.3
11/5/2004;1095.5;1087.1;1095.7;1087.1
10/5/2004;1087.1;1098.7;1098.7;1079.6
7/5/2004;1098.7;1114;1117.3;1098.6
6/5/2004;1114;1121.5;1121.5;1106.3
5/5/2004;1121.5;1119.5;1125.1;1117.9
4/5/2004;1119.5;1117.5;1127.7;1112.9
3/5/2004;1117.5;1107.3;1118.7;1107.3
30/4/2004;1107.3;1113.9;1119.3;1107.2
29/4/2004;1113.9;1122.4;1128.8;1108
28/4/2004;1122.4;1138.1;1138.1;1121.7
27/4/2004;1138.1;1135.5;1146.8;1135.5
26/4/2004;1135.5;1140.6;1145.1;1132.9
23/4/2004;1140.6;1139.9;1141.9;1134.8
22/4/2004;1139.9;1124.1;1142.8;1121.9
21/4/2004;1124.1;1118.2;1125.7;1116
20/4/2004;1118.2;1135.8;1139.3;1118.1
19/4/2004;1135.8;1134.6;1136.2;1129.8
